index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,np,ns,folds,epochs,done,valid,train_loss,validation_loss,top_proba-mean-train-auc,top_proba-mean-validation-auc,top_proba-std-train-auc,top_proba-std-validation-auc
397e2f0783,cifar10,resnet34,drp=0,sgd,lr=0.1,none,kaiming_normal,default,np=0.0,ns=0.0,3,15,True,False,0.758 0.723 0.824,0.813 0.803 0.864,,,,
3a222f19de,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.07,ns=0.2,3,15,True,True,0.613 0.626 0.717,0.666 0.685 0.737,0.687404785511289,0.6297883015239504,0.47753660953418137,0.4670774042619201
3a5272c913,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.39 0.315 0.378,0.44 0.372 0.407,,,,
3b9cbfa300,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.076 0.084 0.079,0.368 0.359 0.344,,,,
3bd6d8fd97,cifar10,resnet34,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.03,ns=0.0,3,15,True,True,0.391 0.389 0.386,0.499 0.489 0.484,0.6472206958214407,0.5516841226882652,0.45086272256222665,0.48985416066439436
3c3bd3d647,cifar10,xception,drp=0.3,sgd,lr=0.01,none,kaiming_normal,intermediate,np=0.0,ns=0.0,3,15,True,False,1.215 1.553 1.41,1.221 1.555 1.387,,,,
3e6703a60f,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.13,ns=0.2,3,15,True,True,0.781 1.043 0.835,0.858 1.064 0.88,0.7167377294429708,0.6604793297966401,0.514992735632184,0.4614285641025641
41f503b0f4,cifar10,xception,drp=0.3,sgd,lr=0.1,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.695 2.307 2.306,0.823 2.306 2.305,,,,
4400c726c0,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,np=0.13,ns=0.0,3,15,True,True,1.225 0.936 0.953,1.262 0.959 0.981,0.6848766077314385,0.6498203530003996,0.5668168923849741,0.4906281044343621
448e958831,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,np=0.03,ns=0.0,3,15,True,True,0.457 0.516 0.496,0.523 0.56 0.567,0.6141293510412853,0.5508032166291508,0.47764586969863443,0.4818919379035367
45533e3981,cifar10,resnet18,drp=0,sgd,lr=0.1,none,pretrain,default,np=0.0,ns=0.0,3,15,True,False,0.811 0.83 0.777,0.854 0.85 0.868,,,,
45542c0db6,cifar10,resnet18,drp=0,adam,lr=0.0001,none,pretrain,intermediate,np=0.0,ns=0.0,3,15,True,True,0.314 0.319 0.323,0.388 0.387 0.389,,,,
