index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,train_loss,validation_loss,loss-mean-train-auc,loss-std-train-auc,loss-mean-validation-auc,loss-std-validation-auc
69d24355d7a,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.10658901392542584,0.13519363928986086,0.21309273655136793,0.26581111484208436
6b06de2116c,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.1314555437297462,0.13119461062539384,0.2169083082018507,0.25880457386965494
72b975cf810,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.18469693623050643,0.17529960446945864,0.235244951989712,0.3228109637267081
72f3c99d312,cifar10,xception,drp=0.3,adam,lr=0.0001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2857209364649003,0.31308498598232765,0.3118344837237418,0.33679262163491386
768fa417f5b,cifar10,xception,drp=0.3,sgd,lr=0.1,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5650514518760135,0.5050740931184223,0.564685112248715,0.5026162078515448
7f6e93936ca,cifar10,xception,drp=0,sgd,lr=0.01,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.1380241641913851,0.30734071048220474,0.16521064790169973,0.2815185091631891
7fc4efa3a08,cifar10,xception,drp=0.3,sgd,lr=0.01,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.16207239064123646,0.4181309213079066,0.20515136728855482,0.37474051709733913
80f624bf154,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.19628511774696134,0.25980113343204203,0.24780707464217186,0.3309827188582433
82eee5393de,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.14714095322520784,0.25515085120795283,0.19404601993527765,0.31220011775021733
860e2edde04,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2006587700483894,0.2125628767333394,0.21555454342281946,0.2715330431161415
86ae3f2547f,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.19965746488046704,0.2010547801102955,0.3278082191555068,0.3423927321668828
8abec5251d7,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.13285025655653926,0.13375630321335208,0.24333777662918268,0.27270476608283917
8dc80e6a54d,cifar10,xception,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.16347367467569415,0.38683688160653873,0.19072118405718907,0.4327298039360433
94e7b0c5624,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.27480734453528666,0.2817939158844235,0.352314410139528,0.3834000183977815
98545a3eddd,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2210964858869411,0.22900510551155506,0.2979504259293768,0.31940109894944185
9b45938efb1,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.19113401733871782,0.17389698683344545,0.255388509085157,0.2963361408464747
9bf756402e8,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.08183472345202143,0.11760070996946811,0.1703050554438167,0.22124641646182017
9e6d3b1fb78,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.11368951900745497,0.13836820459267385,0.2123101836385982,0.2574853579309215
