index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,train_loss,validation_loss,correctness-train-auc,correctness-validation-auc
a3bc9886e61,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6631205558638164,0.5556220544775643
a5c43edf406,cifar10,xception,drp=0,adam,lr=0.0001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9025505591349721,0.8291725671468824
b502cb8cd8f,cifar10,xception,drp=0.3,sgd,lr=0.1,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6689304530404805,0.5641482212224852
b7d04f7ebd9,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9193130106866956,0.8798685686786986
b9205aadac9,cifar10,xception,drp=0.3,sgd,lr=0.1,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4488678139594182,0.4562965482242938
b9e15ac475b,cifar10,xception,drp=0,adam,lr=0.0001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8693582204194282,0.8116913371567757
b9e4df7cd8b,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9472236160416259,0.8835308585503935
bb52135281d,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9403923200736021,0.8741666396279685
cc983bf84ee,cifar10,xception,drp=0.3,sgd,lr=0.1,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8813180063693226,0.8512617561117123
cd491137749,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8943417607602298,0.8049147868526074
ce39065ff55,cifar10,xception,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8437011296929977,0.7539860026492735
cebb8d03f83,cifar10,xception,drp=0.3,sgd,lr=0.01,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7639495046707022,0.7377921485607621
d14e09a111c,cifar10,xception,drp=0,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8514412587210841,0.7523740631691074
da84b5aa663,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8993651354194939,0.8684990538172963
deafd6521ef,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8608365368797366,0.8240845324121986
e08b74f09e8,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9276276747849199,0.8852927342054452
e6cadb4690a,cifar10,xception,drp=0,sgd,lr=0.1,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.673604403292176,0.5688548779123296
ed191310db9,cifar10,xception,drp=0,sgd,lr=0.1,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8822003001984301,0.8736346110074104
ef9febd3d70,cifar10,xception,drp=0.3,sgd,lr=0.1,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.844388651294923,0.8422509272014814
f03895595a1,cifar10,xception,drp=0.3,sgd,lr=0.1,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8826224974908811,0.8757730559016923
fa74b30e7e5,cifar10,xception,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.959091463484283,0.9011105702553692
fad82ed61e9,cifar10,xception,drp=0,sgd,lr=0.1,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4394767710057057,0.4460015194161723
fb010de93b0,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.757189771186149,0.7131977262738278
