index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,test_acc,train_loss,validation_loss
a49fe7d3347,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.1,ns=0.6,3,False,100,False,,,
cd68e658547,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,asym,np=0.1,ns=0.6,3,False,100,False,,,
e50ee949d3e,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.1,ns=0.6,3,False,100,False,,,
cd5965d00c6,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,asym,np=0.2,ns=0.2,3,False,100,False,,,
1bc4e190488,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.2,ns=0.2,3,False,100,False,,,
6e5d04f7f02,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,asym,np=0.2,ns=0.2,3,False,100,False,,,
7e839c4dd8a,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.2,ns=0.2,3,False,100,False,,,
c5072e4a457,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,asym,np=0.2,ns=0.6,3,False,100,False,,,
3730678dafc,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.2,ns=0.6,3,False,100,False,,,
f9bc6854d64,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,asym,np=0.2,ns=0.6,3,False,100,False,,,
54a67448e57,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.2,ns=0.6,3,False,100,False,,,
4accaaffc05,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,asym,np=0.3,ns=0.2,3,False,100,False,,,
5a9c31e413d,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.3,ns=0.2,3,False,100,False,,,
6e587aa0c14,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,asym,np=0.3,ns=0.2,3,False,100,False,,,
8fe19519654,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.3,ns=0.2,3,False,100,False,,,
8eed6e61e47,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,asym,np=0.3,ns=0.6,3,False,100,False,,,
ceff5ef9898,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.3,ns=0.6,3,False,100,False,,,
af5a6cb8f52,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,asym,np=0.3,ns=0.6,3,False,100,False,,,
36d92e2a2d5,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.3,ns=0.6,3,False,100,False,,,
70ba9eed82c,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,asym,np=0.4,ns=0.2,3,False,100,False,,,
c2b1eb81ac7,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.4,ns=0.2,3,False,100,False,,,
0c2e6e54621,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,asym,np=0.4,ns=0.2,3,False,100,False,,,
e896ede9dfe,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.4,ns=0.2,3,False,100,False,,,
e0ed0bd2130,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,asym,np=0.4,ns=0.6,3,False,100,False,,,
0dd1b9b9c64,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.4,ns=0.6,3,False,100,False,,,
59f3f3ae7ac,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,asym,np=0.4,ns=0.6,3,False,100,False,,,
8dfd8a18f47,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.4,ns=0.6,3,False,100,False,,,
b07bebef52d,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,asym,np=0.5,ns=0.2,3,False,100,False,,,
159c5cb1248,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.5,ns=0.2,3,False,100,False,,,
d558d4ae197,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,asym,np=0.5,ns=0.2,3,False,100,False,,,
146ca031cec,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.5,ns=0.2,3,False,100,False,,,
9d856938fc5,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,default,asym,np=0.5,ns=0.6,3,False,100,False,,,
c000d67113a,cifar10,resnet18,drp=0,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.5,ns=0.6,3,False,100,False,,,
7f1de486b09,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,default,asym,np=0.5,ns=0.6,3,False,100,False,,,
b79c33a99e0,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,pretrain,intermediate,asym,np=0.5,ns=0.6,3,False,100,False,,,
90069ad6066,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.1,ns=undefined,3,False,100,False,,,
eae1e3a1cbc,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.1,ns=undefined,3,False,100,False,,,
82eb6b82ab6,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.1,ns=undefined,3,False,100,False,,,
9503f79c20c,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.1,ns=undefined,3,False,100,False,,,
b3380145416,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.2,ns=undefined,3,False,100,False,,,
f68b2a6125c,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.2,ns=undefined,3,False,100,False,,,
450644ac449,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.2,ns=undefined,3,False,100,False,,,
a0201ff8105,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.2,ns=undefined,3,False,100,False,,,
e2690ff0c5c,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.3,ns=undefined,3,False,100,False,,,
3c5059b3197,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.3,ns=undefined,3,False,100,False,,,
3c435919e68,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.3,ns=undefined,3,False,100,False,,,
7d56a6cb18a,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.3,ns=undefined,3,False,100,False,,,
b4b2698dc2b,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.4,ns=undefined,3,False,100,False,,,
0017949045d,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.4,ns=undefined,3,False,100,False,,,
5febc851599,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.4,ns=undefined,3,False,100,False,,,
0eaaf87624f,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.4,ns=undefined,3,False,100,False,,,
ca42a802e4a,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,False,100,False,,,
4a099e240ac,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,False,100,False,,,
9f608d58016,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,False,100,False,,,
4a6aeedd3d6,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,False,100,False,,,
a29dfd91782,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.1,ns=0.2,3,False,100,False,,,
03307e10528,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.1,ns=0.2,3,False,100,False,,,
6ff2eace463,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.1,ns=0.2,3,False,100,False,,,
a8bb8727387,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.1,ns=0.2,3,False,100,False,,,
353dcf73f89,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.1,ns=0.6,3,False,100,False,,,
2a828c10b80,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.1,ns=0.6,3,False,100,False,,,
56138a91235,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.1,ns=0.6,3,False,100,False,,,
2f87d5dfe6a,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.1,ns=0.6,3,False,100,False,,,
179c57ff4ab,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.2,ns=0.2,3,False,100,False,,,
3a5f2c65761,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.2,ns=0.2,3,False,100,False,,,
2ab3a0cf3dd,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.2,ns=0.2,3,False,100,False,,,
22cf69c13fe,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.2,ns=0.2,3,False,100,False,,,
f83d8092e96,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.2,ns=0.6,3,False,100,False,,,
ad8c72e5a35,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.2,ns=0.6,3,False,100,False,,,
28751b9bd1c,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.2,ns=0.6,3,False,100,False,,,
61c7f21188f,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.2,ns=0.6,3,False,100,False,,,
b2d448c3487,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.3,ns=0.2,3,False,100,False,,,
00dea2c5775,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.3,ns=0.2,3,False,100,False,,,
2fecadd7f55,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.3,ns=0.2,3,False,100,False,,,
8085c73e84c,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.3,ns=0.2,3,False,100,False,,,
613ed6f136a,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.3,ns=0.6,3,False,100,False,,,
ce4fe0dc38f,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.3,ns=0.6,3,False,100,False,,,
63046999055,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.3,ns=0.6,3,False,100,False,,,
b906bd09f95,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.3,ns=0.6,3,False,100,False,,,
b95146395d0,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.4,ns=0.2,3,False,100,False,,,
42162934a46,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.4,ns=0.2,3,False,100,False,,,
250979a3d25,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.4,ns=0.2,3,False,100,False,,,
0ce900571f9,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.4,ns=0.2,3,False,100,False,,,
f0a36d7f877,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.4,ns=0.6,3,False,100,False,,,
f9d534b7a12,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.4,ns=0.6,3,False,100,False,,,
3303a95a2cb,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.4,ns=0.6,3,False,100,False,,,
6b3fb14391f,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.4,ns=0.6,3,False,100,False,,,
4fc285ef773,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.5,ns=0.2,3,False,100,False,,,
0057ee1475a,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.5,ns=0.2,3,False,100,False,,,
8bc6e5e2154,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.5,ns=0.2,3,False,100,False,,,
fc64583bde1,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.5,ns=0.2,3,False,100,False,,,
66566b3f01d,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.5,ns=0.6,3,False,100,False,,,
8f4daf83c95,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.5,ns=0.6,3,False,100,False,,,
923fcd78db2,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,sym,np=0.5,ns=0.6,3,False,100,False,,,
6baef955474,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,intermediate,sym,np=0.5,ns=0.6,3,False,100,False,,,
e221a624377,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.1,ns=0.2,3,False,100,False,,,
ed1152a16dc,cifar10,resnet18,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,asym,np=0.1,ns=0.2,3,False,100,False,,,
7a1fd63fbbb,cifar10,resnet18,drp=0.3,adam,lr=0.001,none,kaiming_normal,default,asym,np=0.1,ns=0.2,3,False,100,False,,,
